Period,January 1 2020 to December 31 2020,
,,
Time,CA Eco-Multi 1 -Davis CA,Total counts on 3rd Street
Mar 3rd, 2020 22:00,3
Mar 3rd, 2020 22:15,0
Mar 3rd, 2020 22:30,1
Mar 3rd, 2020 22:45,0
Mar 3rd, 2020 23:00,2
Mar 3rd, 2020 23:15,1
Mar 3rd, 2020 23:30,0
Mar 3rd, 2020 23:45,0
Mar 4th, 2020 00:00,1
Mar 4th, 2020 00:15,0
Mar 4th, 2020 00:30,0
Mar 4th, 2020 00:45,0
Mar 4th, 2020 01:00,0
Mar 4th, 2020 01:15,0
Mar 4th, 2020 01:30,2
Mar 4th, 2020 01:45,3
Mar 4th, 2020 02:00,0
Mar 4th, 2020 02:15,1
Mar 4th, 2020 02:30,0
Mar 4th, 2020 02:45,0
Mar 4th, 2020 03:00,0
Mar 4th, 2020 03:15,0
Mar 4th, 2020 03:30,0
Mar 4th, 2020 03:45,0
Mar 4th, 2020 04:00,1
Mar 4th, 2020 04:15,0
Mar 4th, 2020 04:30,1
Mar 4th, 2020 04:45,0
Mar 4th, 2020 05:00,0
Mar 4th, 2020 05:15,1
Mar 4th, 2020 05:30,1
Mar 4th, 2020 05:45,0
Mar 4th, 2020 06:00,0
Mar 4th, 2020 06:15,4
Mar 4th, 2020 06:30,3
Mar 4th, 2020 06:45,3
Mar 4th, 2020 07:00,2
Mar 4th, 2020 07:15,7
Mar 4th, 2020 07:30,15
Mar 4th, 2020 07:45,5
Mar 4th, 2020 08:00,40
Mar 4th, 2020 08:15,29
Mar 4th, 2020 08:30,31
Mar 4th, 2020 08:45,20
Mar 4th, 2020 09:00,12
Mar 4th, 2020 09:15,26
Mar 4th, 2020 09:30,9
Mar 4th, 2020 09:45,7
Mar 4th, 2020 10:00,7
Mar 4th, 2020 10:15,13
Mar 4th, 2020 10:30,14
Mar 4th, 2020 10:45,8
Mar 4th, 2020 11:00,7
Mar 4th, 2020 11:15,10
Mar 4th, 2020 11:30,7
Mar 4th, 2020 11:45,18
Mar 4th, 2020 12:00,3
Mar 4th, 2020 12:15,14
Mar 4th, 2020 12:30,6
Mar 4th, 2020 12:45,9
Mar 4th, 2020 13:00,10
Mar 4th, 2020 13:15,11
Mar 4th, 2020 13:30,25
Mar 4th, 2020 13:45,16
Mar 4th, 2020 14:00,11
Mar 4th, 2020 14:15,8
Mar 4th, 2020 14:30,23
Mar 4th, 2020 14:45,18
Mar 4th, 2020 15:00,5
Mar 4th, 2020 15:15,9
Mar 4th, 2020 15:30,73
Mar 4th, 2020 15:45,16
Mar 4th, 2020 16:00,23
Mar 4th, 2020 16:15,22
Mar 4th, 2020 16:30,23
Mar 4th, 2020 16:45,22
Mar 4th, 2020 17:00,24
Mar 4th, 2020 17:15,30
Mar 4th, 2020 17:30,26
Mar 4th, 2020 17:45,26
Mar 4th, 2020 18:00,22
Mar 4th, 2020 18:15,21
Mar 4th, 2020 18:30,13
Mar 4th, 2020 18:45,8
Mar 4th, 2020 19:00,12
Mar 4th, 2020 19:15,7
Mar 4th, 2020 19:30,10
Mar 4th, 2020 19:45,4
Mar 4th, 2020 20:00,7
Mar 4th, 2020 20:15,10
Mar 4th, 2020 20:30,8
Mar 4th, 2020 20:45,4
Mar 4th, 2020 21:00,0
Mar 4th, 2020 21:15,3
Mar 4th, 2020 21:30,2
Mar 4th, 2020 21:45,1
Mar 4th, 2020 22:00,1
Mar 4th, 2020 22:15,0
Mar 4th, 2020 22:30,3
Mar 4th, 2020 22:45,0
Mar 4th, 2020 23:00,1
Mar 4th, 2020 23:15,0
Mar 4th, 2020 23:30,2
Mar 4th, 2020 23:45,0
Mar 5th, 2020 00:00,0
Mar 5th, 2020 00:15,1
Mar 5th, 2020 00:30,0
Mar 5th, 2020 00:45,0
Mar 5th, 2020 01:00,0
Mar 5th, 2020 01:15,1
Mar 5th, 2020 01:30,2
Mar 5th, 2020 01:45,2
Mar 5th, 2020 02:00,0
Mar 5th, 2020 02:15,0
Mar 5th, 2020 02:30,0
Mar 5th, 2020 02:45,1
Mar 5th, 2020 03:00,0
Mar 5th, 2020 03:15,0
Mar 5th, 2020 03:30,1
Mar 5th, 2020 03:45,0
Mar 5th, 2020 04:00,0
Mar 5th, 2020 04:15,0
Mar 5th, 2020 04:30,0
Mar 5th, 2020 04:45,0
Mar 5th, 2020 05:00,2
Mar 5th, 2020 05:15,2
Mar 5th, 2020 05:30,1
Mar 5th, 2020 05:45,0
Mar 5th, 2020 06:00,0
Mar 5th, 2020 06:15,5
Mar 5th, 2020 06:30,0
Mar 5th, 2020 06:45,2
Mar 5th, 2020 07:00,5
Mar 5th, 2020 07:15,7
Mar 5th, 2020 07:30,17
Mar 5th, 2020 07:45,27
Mar 5th, 2020 08:00,60
Mar 5th, 2020 08:15,41
Mar 5th, 2020 08:30,23
Mar 5th, 2020 08:45,16
Mar 5th, 2020 09:00,7
Mar 5th, 2020 09:15,10
Mar 5th, 2020 09:30,10
Mar 5th, 2020 09:45,6
Mar 5th, 2020 10:00,7
Mar 5th, 2020 10:15,15
Mar 5th, 2020 10:30,8
Mar 5th, 2020 10:45,5
Mar 5th, 2020 11:00,7
Mar 5th, 2020 11:15,12
Mar 5th, 2020 11:30,6
Mar 5th, 2020 11:45,9
Mar 5th, 2020 12:00,6
Mar 5th, 2020 12:15,6
Mar 5th, 2020 12:30,8
Mar 5th, 2020 12:45,7
Mar 5th, 2020 13:00,5
Mar 5th, 2020 13:15,5
Mar 5th, 2020 13:30,3
Mar 5th, 2020 13:45,3
Mar 5th, 2020 14:00,21
Mar 5th, 2020 14:15,14
Mar 5th, 2020 14:30,14
Mar 5th, 2020 14:45,19
Mar 5th, 2020 15:00,16
Mar 5th, 2020 15:15,21
Mar 5th, 2020 15:30,97
Mar 5th, 2020 15:45,27
Mar 5th, 2020 16:00,20
Mar 5th, 2020 16:15,20
Mar 5th, 2020 16:30,21
Mar 5th, 2020 16:45,27
Mar 5th, 2020 17:00,14
Mar 5th, 2020 17:15,26
Mar 5th, 2020 17:30,24
Mar 5th, 2020 17:45,21
Mar 5th, 2020 18:00,9
Mar 5th, 2020 18:15,19
Mar 5th, 2020 18:30,8
Mar 5th, 2020 18:45,12
Mar 5th, 2020 19:00,9
Mar 5th, 2020 19:15,11
Mar 5th, 2020 19:30,7
Mar 5th, 2020 19:45,5
Mar 5th, 2020 20:00,5
Mar 5th, 2020 20:15,8
Mar 5th, 2020 20:30,4
Mar 5th, 2020 20:45,4
Mar 5th, 2020 21:00,2
Mar 5th, 2020 21:15,3
Mar 5th, 2020 21:30,1
Mar 5th, 2020 21:45,1
Mar 5th, 2020 22:00,2
Mar 5th, 2020 22:15,1
Mar 5th, 2020 22:30,0
Mar 5th, 2020 22:45,0
Mar 5th, 2020 23:00,1
Mar 5th, 2020 23:15,1
Mar 5th, 2020 23:30,0
Mar 5th, 2020 23:45,0
Mar 6th, 2020 00:00,0
Mar 6th, 2020 00:15,0
Mar 6th, 2020 00:30,2
Mar 6th, 2020 00:45,0
Mar 6th, 2020 01:00,0
Mar 6th, 2020 01:15,0
Mar 6th, 2020 01:30,0
Mar 6th, 2020 01:45,0
Mar 6th, 2020 02:00,0
Mar 6th, 2020 02:15,0
Mar 6th, 2020 02:30,0
Mar 6th, 2020 02:45,0
Mar 6th, 2020 03:00,0
Mar 6th, 2020 03:15,0
Mar 6th, 2020 03:30,0
Mar 6th, 2020 03:45,0
Mar 6th, 2020 04:00,0
Mar 6th, 2020 04:15,0
Mar 6th, 2020 04:30,0
Mar 6th, 2020 04:45,0
Mar 6th, 2020 05:00,0
Mar 6th, 2020 05:15,0
Mar 6th, 2020 05:30,0
Mar 6th, 2020 05:45,1
Mar 6th, 2020 06:00,4
Mar 6th, 2020 06:15,3
Mar 6th, 2020 06:30,1
Mar 6th, 2020 06:45,7
Mar 6th, 2020 07:00,4
Mar 6th, 2020 07:15,5
Mar 6th, 2020 07:30,18
Mar 6th, 2020 07:45,24
Mar 6th, 2020 08:00,75
Mar 6th, 2020 08:15,57
Mar 6th, 2020 08:30,18
Mar 6th, 2020 08:45,20
Mar 6th, 2020 09:00,12
Mar 6th, 2020 09:15,3
Mar 6th, 2020 09:30,6
Mar 6th, 2020 09:45,6
Mar 6th, 2020 10:00,3
Mar 6th, 2020 10:15,3
Mar 6th, 2020 10:30,3
Mar 6th, 2020 10:45,4
Mar 6th, 2020 11:00,2
Mar 6th, 2020 11:15,3
Mar 6th, 2020 11:30,4
Mar 6th, 2020 11:45,11
Mar 6th, 2020 12:00,6
Mar 6th, 2020 12:15,2
Mar 6th, 2020 12:30,5
Mar 6th, 2020 12:45,3
Mar 6th, 2020 13:00,2
Mar 6th, 2020 13:15,2
Mar 6th, 2020 13:30,5
Mar 6th, 2020 13:45,17
Mar 6th, 2020 14:00,5
Mar 6th, 2020 14:15,10
Mar 6th, 2020 14:30,24
Mar 6th, 2020 14:45,47
Mar 6th, 2020 15:00,18
Mar 6th, 2020 15:15,19
Mar 6th, 2020 15:30,92
Mar 6th, 2020 15:45,37
Mar 6th, 2020 16:00,21
Mar 6th, 2020 16:15,11
Mar 6th, 2020 16:30,9
Mar 6th, 2020 16:45,18
Mar 6th, 2020 17:00,12
Mar 6th, 2020 17:15,22
Mar 6th, 2020 17:30,20
Mar 6th, 2020 17:45,18
Mar 6th, 2020 18:00,16
Mar 6th, 2020 18:15,12
Mar 6th, 2020 18:30,12
Mar 6th, 2020 18:45,7
Mar 6th, 2020 19:00,12
Mar 6th, 2020 19:15,4
Mar 6th, 2020 19:30,2
Mar 6th, 2020 19:45,8
Mar 6th, 2020 20:00,7
Mar 6th, 2020 20:15,2
Mar 6th, 2020 20:30,2
Mar 6th, 2020 20:45,2
Mar 6th, 2020 21:00,3
Mar 6th, 2020 21:15,6
Mar 6th, 2020 21:30,2
Mar 6th, 2020 21:45,1
Mar 6th, 2020 22:00,1
Mar 6th, 2020 22:15,0
Mar 6th, 2020 22:30,0
Mar 6th, 2020 22:45,1
Mar 6th, 2020 23:00,4
Mar 6th, 2020 23:15,0
Mar 6th, 2020 23:30,1
Mar 6th, 2020 23:45,1
Mar 7th, 2020 00:00,2
Mar 7th, 2020 00:15,0
Mar 7th, 2020 00:30,1
Mar 7th, 2020 00:45,0
Mar 7th, 2020 01:00,0
Mar 7th, 2020 01:15,0
Mar 7th, 2020 01:30,0
Mar 7th, 2020 01:45,1
Mar 7th, 2020 02:00,0
Mar 7th, 2020 02:15,0
Mar 7th, 2020 02:30,0
Mar 7th, 2020 02:45,0
Mar 7th, 2020 03:00,0
Mar 7th, 2020 03:15,0
Mar 7th, 2020 03:30,1
Mar 7th, 2020 03:45,2
Mar 7th, 2020 04:00,0
Mar 7th, 2020 04:15,0
Mar 7th, 2020 04:30,0
Mar 7th, 2020 04:45,0
Mar 7th, 2020 05:00,0
Mar 7th, 2020 05:15,0
Mar 7th, 2020 05:30,0
Mar 7th, 2020 05:45,0
Mar 7th, 2020 06:00,0
Mar 7th, 2020 06:15,2
Mar 7th, 2020 06:30,0
Mar 7th, 2020 06:45,1
Mar 7th, 2020 07:00,2
Mar 7th, 2020 07:15,3
Mar 7th, 2020 07:30,2
Mar 7th, 2020 07:45,6
Mar 7th, 2020 08:00,5
Mar 7th, 2020 08:15,8
Mar 7th, 2020 08:30,8
Mar 7th, 2020 08:45,8
Mar 7th, 2020 09:00,6
Mar 7th, 2020 09:15,7
Mar 7th, 2020 09:30,7
Mar 7th, 2020 09:45,3
Mar 7th, 2020 10:00,10
Mar 7th, 2020 10:15,12
Mar 7th, 2020 10:30,12
Mar 7th, 2020 10:45,17
Mar 7th, 2020 11:00,6
Mar 7th, 2020 11:15,6
Mar 7th, 2020 11:30,2
Mar 7th, 2020 11:45,5
Mar 7th, 2020 12:00,6
Mar 7th, 2020 12:15,11
Mar 7th, 2020 12:30,6
Mar 7th, 2020 12:45,7
Mar 7th, 2020 13:00,9
Mar 7th, 2020 13:15,2
Mar 7th, 2020 13:30,2
Mar 7th, 2020 13:45,5
Mar 7th, 2020 14:00,2
Mar 7th, 2020 14:15,1
Mar 7th, 2020 14:30,9
Mar 7th, 2020 14:45,3
Mar 7th, 2020 15:00,7
Mar 7th, 2020 15:15,4
Mar 7th, 2020 15:30,9
Mar 7th, 2020 15:45,10
Mar 7th, 2020 16:00,8
Mar 7th, 2020 16:15,11
Mar 7th, 2020 16:30,4
Mar 7th, 2020 16:45,3
Mar 7th, 2020 17:00,14
Mar 7th, 2020 17:15,11
Mar 7th, 2020 17:30,10
Mar 7th, 2020 17:45,10
Mar 7th, 2020 18:00,9
Mar 7th, 2020 18:15,11
Mar 7th, 2020 18:30,2
Mar 7th, 2020 18:45,4
Mar 7th, 2020 19:00,1
Mar 7th, 2020 19:15,6
Mar 7th, 2020 19:30,0
Mar 7th, 2020 19:45,1
Mar 7th, 2020 20:00,1
Mar 7th, 2020 20:15,5
Mar 7th, 2020 20:30,2
Mar 7th, 2020 20:45,1
Mar 7th, 2020 21:00,2
Mar 7th, 2020 21:15,4
Mar 7th, 2020 21:30,2
Mar 7th, 2020 21:45,1
Mar 7th, 2020 22:00,3
Mar 7th, 2020 22:15,0
Mar 7th, 2020 22:30,3
Mar 7th, 2020 22:45,0
Mar 7th, 2020 23:00,1
Mar 7th, 2020 23:15,0
Mar 7th, 2020 23:30,2
Mar 7th, 2020 23:45,0
Mar 8th, 2020 00:00,0
Mar 8th, 2020 00:15,0
Mar 8th, 2020 00:30,0
Mar 8th, 2020 00:45,0
Mar 8th, 2020 01:00,2
Mar 8th, 2020 01:15,0
Mar 8th, 2020 01:30,0
Mar 8th, 2020 01:45,0
Mar 8th, 2020 03:00,
Mar 8th, 2020 03:15,
Mar 8th, 2020 03:30,
Mar 8th, 2020 03:45,
Mar 8th, 2020 03:00,0
Mar 8th, 2020 03:15,0
Mar 8th, 2020 03:30,0
Mar 8th, 2020 03:45,0
Mar 8th, 2020 04:00,0
Mar 8th, 2020 04:15,0
Mar 8th, 2020 04:30,0
Mar 8th, 2020 04:45,1
Mar 8th, 2020 05:00,1
Mar 8th, 2020 05:15,0
Mar 8th, 2020 05:30,0
Mar 8th, 2020 05:45,0
Mar 8th, 2020 06:00,0
Mar 8th, 2020 06:15,1
Mar 8th, 2020 06:30,0
Mar 8th, 2020 06:45,0
Mar 8th, 2020 07:00,2
Mar 8th, 2020 07:15,0
Mar 8th, 2020 07:30,0
Mar 8th, 2020 07:45,1
Mar 8th, 2020 08:00,1
Mar 8th, 2020 08:15,1
Mar 8th, 2020 08:30,2
Mar 8th, 2020 08:45,7
Mar 8th, 2020 09:00,5
Mar 8th, 2020 09:15,2
Mar 8th, 2020 09:30,8
Mar 8th, 2020 09:45,2
Mar 8th, 2020 10:00,3
Mar 8th, 2020 10:15,2
Mar 8th, 2020 10:30,5
Mar 8th, 2020 10:45,3
Mar 8th, 2020 11:00,4
Mar 8th, 2020 11:15,5
Mar 8th, 2020 11:30,3
Mar 8th, 2020 11:45,2
Mar 8th, 2020 12:00,6
Mar 8th, 2020 12:15,4
Mar 8th, 2020 12:30,6
Mar 8th, 2020 12:45,4
Mar 8th, 2020 13:00,2
Mar 8th, 2020 13:15,10
Mar 8th, 2020 13:30,3
Mar 8th, 2020 13:45,3
Mar 8th, 2020 14:00,6
Mar 8th, 2020 14:15,8
Mar 8th, 2020 14:30,6
Mar 8th, 2020 14:45,7
Mar 8th, 2020 15:00,8
Mar 8th, 2020 15:15,9
Mar 8th, 2020 15:30,13
Mar 8th, 2020 15:45,9
Mar 8th, 2020 16:00,7
Mar 8th, 2020 16:15,9
Mar 8th, 2020 16:30,8
Mar 8th, 2020 16:45,3
Mar 8th, 2020 17:00,16
Mar 8th, 2020 17:15,6
Mar 8th, 2020 17:30,10
Mar 8th, 2020 17:45,10
Mar 8th, 2020 18:00,7
Mar 8th, 2020 18:15,11
Mar 8th, 2020 18:30,4
Mar 8th, 2020 18:45,6
Mar 8th, 2020 19:00,8
Mar 8th, 2020 19:15,3
Mar 8th, 2020 19:30,3
Mar 8th, 2020 19:45,4
Mar 8th, 2020 20:00,3
Mar 8th, 2020 20:15,4
Mar 8th, 2020 20:30,0
Mar 8th, 2020 20:45,1
Mar 8th, 2020 21:00,2
Mar 8th, 2020 21:15,1
Mar 8th, 2020 21:30,0
Mar 8th, 2020 21:45,4
Mar 8th, 2020 22:00,2
Mar 8th, 2020 22:15,1
Mar 8th, 2020 22:30,3
Mar 8th, 2020 22:45,2
Mar 8th, 2020 23:00,1
Mar 8th, 2020 23:15,0
Mar 8th, 2020 23:30,0
Mar 8th, 2020 23:45,1
Mar 9th, 2020 00:00,0
Mar 9th, 2020 00:15,1
Mar 9th, 2020 00:30,1
Mar 9th, 2020 00:45,0
Mar 9th, 2020 01:00,0
Mar 9th, 2020 01:15,0
Mar 9th, 2020 01:30,0
Mar 9th, 2020 01:45,1
Mar 9th, 2020 02:00,2
Mar 9th, 2020 02:15,0
Mar 9th, 2020 02:30,1
Mar 9th, 2020 02:45,0
Mar 9th, 2020 03:00,0
Mar 9th, 2020 03:15,0
Mar 9th, 2020 03:30,1
Mar 9th, 2020 03:45,0
Mar 9th, 2020 04:00,0
Mar 9th, 2020 04:15,0
Mar 9th, 2020 04:30,0
Mar 9th, 2020 04:45,0
Mar 9th, 2020 05:00,1
Mar 9th, 2020 05:15,0
Mar 9th, 2020 05:30,2
Mar 9th, 2020 05:45,1
Mar 9th, 2020 06:00,0
Mar 9th, 2020 06:15,1
Mar 9th, 2020 06:30,1
Mar 9th, 2020 06:45,2
Mar 9th, 2020 07:00,1
Mar 9th, 2020 07:15,6
Mar 9th, 2020 07:30,13
Mar 9th, 2020 07:45,41
Mar 9th, 2020 08:00,94
Mar 9th, 2020 08:15,67
Mar 9th, 2020 08:30,21
Mar 9th, 2020 08:45,14
Mar 9th, 2020 09:00,11
Mar 9th, 2020 09:15,14
Mar 9th, 2020 09:30,4
Mar 9th, 2020 09:45,6
Mar 9th, 2020 10:00,10
Mar 9th, 2020 10:15,4
Mar 9th, 2020 10:30,6
Mar 9th, 2020 10:45,5
Mar 9th, 2020 11:00,6
Mar 9th, 2020 11:15,2
Mar 9th, 2020 11:30,6
Mar 9th, 2020 11:45,7
Mar 9th, 2020 12:00,6
Mar 9th, 2020 12:15,5
Mar 9th, 2020 12:30,2
Mar 9th, 2020 12:45,7
Mar 9th, 2020 13:00,4
Mar 9th, 2020 13:15,6
Mar 9th, 2020 13:30,2
Mar 9th, 2020 13:45,12
Mar 9th, 2020 14:00,8
Mar 9th, 2020 14:15,9
Mar 9th, 2020 14:30,21
Mar 9th, 2020 14:45,27
Mar 9th, 2020 15:00,19
Mar 9th, 2020 15:15,26
Mar 9th, 2020 15:30,45
Mar 9th, 2020 15:45,29
Mar 9th, 2020 16:00,11
Mar 9th, 2020 16:15,13
Mar 9th, 2020 16:30,15
Mar 9th, 2020 16:45,22
Mar 9th, 2020 17:00,14
Mar 9th, 2020 17:15,30
Mar 9th, 2020 17:30,18
Mar 9th, 2020 17:45,24
Mar 9th, 2020 18:00,23
Mar 9th, 2020 18:15,16
Mar 9th, 2020 18:30,15
Mar 9th, 2020 18:45,14
Mar 9th, 2020 19:00,13
Mar 9th, 2020 19:15,11
Mar 9th, 2020 19:30,8
Mar 9th, 2020 19:45,5
Mar 9th, 2020 20:00,1
Mar 9th, 2020 20:15,2
Mar 9th, 2020 20:30,0
Mar 9th, 2020 20:45,6
Mar 9th, 2020 21:00,5
Mar 9th, 2020 21:15,2
Mar 9th, 2020 21:30,1
Mar 9th, 2020 21:45,2
Mar 9th, 2020 22:00,1
Mar 9th, 2020 22:15,3
Mar 9th, 2020 22:30,4
Mar 9th, 2020 22:45,0
Mar 9th, 2020 23:00,0
Mar 9th, 2020 23:15,0
Mar 9th, 2020 23:30,0
Mar 9th, 2020 23:45,0
Mar 10th, 2020 00:00,0
Mar 10th, 2020 00:15,0
Mar 10th, 2020 00:30,0
Mar 10th, 2020 00:45,1
Mar 10th, 2020 01:00,0
Mar 10th, 2020 01:15,1
Mar 10th, 2020 01:30,1
Mar 10th, 2020 01:45,0
Mar 10th, 2020 02:00,0
Mar 10th, 2020 02:15,1
Mar 10th, 2020 02:30,0
Mar 10th, 2020 02:45,0
Mar 10th, 2020 03:00,0
Mar 10th, 2020 03:15,0
Mar 10th, 2020 03:30,1
Mar 10th, 2020 03:45,0
Mar 10th, 2020 04:00,0
Mar 10th, 2020 04:15,0
Mar 10th, 2020 04:30,0
Mar 10th, 2020 04:45,0
Mar 10th, 2020 05:00,1
Mar 10th, 2020 05:15,1
Mar 10th, 2020 05:30,1
Mar 10th, 2020 05:45,3
Mar 10th, 2020 06:00,3
Mar 10th, 2020 06:15,5
Mar 10th, 2020 06:30,1
Mar 10th, 2020 06:45,5
Mar 10th, 2020 07:00,2
Mar 10th, 2020 07:15,8
Mar 10th, 2020 07:30,16
Mar 10th, 2020 07:45,43
Mar 10th, 2020 08:00,116
Mar 10th, 2020 08:15,67
Mar 10th, 2020 08:30,22
Mar 10th, 2020 08:45,26
Mar 10th, 2020 09:00,15
Mar 10th, 2020 09:15,11
Mar 10th, 2020 09:30,15
Mar 10th, 2020 09:45,10
Mar 10th, 2020 10:00,5
Mar 10th, 2020 10:15,3
Mar 10th, 2020 10:30,9
Mar 10th, 2020 10:45,12
Mar 10th, 2020 11:00,8
Mar 10th, 2020 11:15,4
Mar 10th, 2020 11:30,6
Mar 10th, 2020 11:45,8
Mar 10th, 2020 12:00,3
Mar 10th, 2020 12:15,4
Mar 10th, 2020 12:30,2
Mar 10th, 2020 12:45,7
Mar 10th, 2020 13:00,7
Mar 10th, 2020 13:15,11
Mar 10th, 2020 13:30,3
Mar 10th, 2020 13:45,6
Mar 10th, 2020 14:00,5
Mar 10th, 2020 14:15,11
Mar 10th, 2020 14:30,23
Mar 10th, 2020 14:45,46
Mar 10th, 2020 15:00,13
Mar 10th, 2020 15:15,22
Mar 10th, 2020 15:30,41
Mar 10th, 2020 15:45,21
Mar 10th, 2020 16:00,10
Mar 10th, 2020 16:15,16
Mar 10th, 2020 16:30,19
Mar 10th, 2020 16:45,21
Mar 10th, 2020 17:00,20
Mar 10th, 2020 17:15,12
Mar 10th, 2020 17:30,15
Mar 10th, 2020 17:45,16
Mar 10th, 2020 18:00,22
Mar 10th, 2020 18:15,14
Mar 10th, 2020 18:30,18
Mar 10th, 2020 18:45,18
Mar 10th, 2020 19:00,6
Mar 10th, 2020 19:15,10
Mar 10th, 2020 19:30,8
Mar 10th, 2020 19:45,3
Mar 10th, 2020 20:00,2
Mar 10th, 2020 20:15,7
Mar 10th, 2020 20:30,6
Mar 10th, 2020 20:45,5
Mar 10th, 2020 21:00,1
Mar 10th, 2020 21:15,1
Mar 10th, 2020 21:30,1
Mar 10th, 2020 21:45,2
Mar 10th, 2020 22:00,1
Mar 10th, 2020 22:15,1
Mar 10th, 2020 22:30,1
Mar 10th, 2020 22:45,0
Mar 10th, 2020 23:00,0
Mar 10th, 2020 23:15,1
Mar 10th, 2020 23:30,2
Mar 10th, 2020 23:45,0
Mar 11th, 2020 00:00,0
Mar 11th, 2020 00:15,3
Mar 11th, 2020 00:30,0
Mar 11th, 2020 00:45,0
Mar 11th, 2020 01:00,0
Mar 11th, 2020 01:15,0
Mar 11th, 2020 01:30,0
Mar 11th, 2020 01:45,0
Mar 11th, 2020 02:00,0
Mar 11th, 2020 02:15,0
Mar 11th, 2020 02:30,0
Mar 11th, 2020 02:45,0
Mar 11th, 2020 03:00,0
Mar 11th, 2020 03:15,0
Mar 11th, 2020 03:30,1
Mar 11th, 2020 03:45,0
Mar 11th, 2020 04:00,0
Mar 11th, 2020 04:15,0
Mar 11th, 2020 04:30,0
Mar 11th, 2020 04:45,0
Mar 11th, 2020 05:00,2
Mar 11th, 2020 05:15,0
Mar 11th, 2020 05:30,1
Mar 11th, 2020 05:45,2
Mar 11th, 2020 06:00,3
Mar 11th, 2020 06:15,0
Mar 11th, 2020 06:30,3
Mar 11th, 2020 06:45,3
Mar 11th, 2020 07:00,7
Mar 11th, 2020 07:15,8
Mar 11th, 2020 07:30,15
Mar 11th, 2020 07:45,13
Mar 11th, 2020 08:00,31
Mar 11th, 2020 08:15,37
Mar 11th, 2020 08:30,54
Mar 11th, 2020 08:45,33
Mar 11th, 2020 09:00,26
Mar 11th, 2020 09:15,41
Mar 11th, 2020 09:30,24
Mar 11th, 2020 09:45,10
Mar 11th, 2020 10:00,10
Mar 11th, 2020 10:15,10
Mar 11th, 2020 10:30,5
Mar 11th, 2020 10:45,12
Mar 11th, 2020 11:00,12
Mar 11th, 2020 11:15,3
Mar 11th, 2020 11:30,10
Mar 11th, 2020 11:45,5
Mar 11th, 2020 12:00,9
Mar 11th, 2020 12:15,8
Mar 11th, 2020 12:30,5
Mar 11th, 2020 12:45,9
Mar 11th, 2020 13:00,12
Mar 11th, 2020 13:15,15
Mar 11th, 2020 13:30,21
Mar 11th, 2020 13:45,13
Mar 11th, 2020 14:00,11
Mar 11th, 2020 14:15,4
Mar 11th, 2020 14:30,31
Mar 11th, 2020 14:45,17
Mar 11th, 2020 15:00,11
Mar 11th, 2020 15:15,5
Mar 11th, 2020 15:30,56
Mar 11th, 2020 15:45,25
Mar 11th, 2020 16:00,13
Mar 11th, 2020 16:15,11
Mar 11th, 2020 16:30,20
Mar 11th, 2020 16:45,28
Mar 11th, 2020 17:00,24
Mar 11th, 2020 17:15,29
Mar 11th, 2020 17:30,26
Mar 11th, 2020 17:45,29
Mar 11th, 2020 18:00,16
Mar 11th, 2020 18:15,19
Mar 11th, 2020 18:30,11
Mar 11th, 2020 18:45,11
Mar 11th, 2020 19:00,8
Mar 11th, 2020 19:15,11
Mar 11th, 2020 19:30,14
Mar 11th, 2020 19:45,6
Mar 11th, 2020 20:00,4
Mar 11th, 2020 20:15,1
Mar 11th, 2020 20:30,0
Mar 11th, 2020 20:45,3
Mar 11th, 2020 21:00,3
Mar 11th, 2020 21:15,5
Mar 11th, 2020 21:30,1
Mar 11th, 2020 21:45,2
Mar 11th, 2020 22:00,1
Mar 11th, 2020 22:15,2
Mar 11th, 2020 22:30,2
Mar 11th, 2020 22:45,1
Mar 11th, 2020 23:00,2
Mar 11th, 2020 23:15,1
Mar 11th, 2020 23:30,1
Mar 11th, 2020 23:45,0
Mar 12th, 2020 00:00,0
Mar 12th, 2020 00:15,0
Mar 12th, 2020 00:30,0
Mar 12th, 2020 00:45,1
Mar 12th, 2020 01:00,0
Mar 12th, 2020 01:15,0
Mar 12th, 2020 01:30,0
Mar 12th, 2020 01:45,0
Mar 12th, 2020 02:00,1
Mar 12th, 2020 02:15,0
Mar 12th, 2020 02:30,0
Mar 12th, 2020 02:45,0
Mar 12th, 2020 03:00,0
Mar 12th, 2020 03:15,0
Mar 12th, 2020 03:30,0
Mar 12th, 2020 03:45,0
Mar 12th, 2020 04:00,0
Mar 12th, 2020 04:15,0
Mar 12th, 2020 04:30,0
Mar 12th, 2020 04:45,0
Mar 12th, 2020 05:00,1
Mar 12th, 2020 05:15,0
Mar 12th, 2020 05:30,1
Mar 12th, 2020 05:45,1
Mar 12th, 2020 06:00,1
Mar 12th, 2020 06:15,2
Mar 12th, 2020 06:30,1
Mar 12th, 2020 06:45,2
Mar 12th, 2020 07:00,5
Mar 12th, 2020 07:15,9
Mar 12th, 2020 07:30,15
Mar 12th, 2020 07:45,49
Mar 12th, 2020 08:00,114
Mar 12th, 2020 08:15,73
Mar 12th, 2020 08:30,26
Mar 12th, 2020 08:45,22
Mar 12th, 2020 09:00,11
Mar 12th, 2020 09:15,10
Mar 12th, 2020 09:30,9
Mar 12th, 2020 09:45,17
Mar 12th, 2020 10:00,12
Mar 12th, 2020 10:15,4
Mar 12th, 2020 10:30,7
Mar 12th, 2020 10:45,4
